date,open,high,low,close,month
1992-03-31,89.1,91.53,88.7,89.66,1992-03
1992-04-30,89.62,90.78,88.43,89.54,1992-04
1992-05-31,89.54,89.6,86.58,87.31,1992-05
1992-06-30,87.27,87.71,83.24,83.71,1992-06
1992-07-31,83.72,83.75,80.58,81.9,1992-07
1992-08-31,81.94,82.51,78.67,78.81,1992-08
1992-09-30,78.84,85.38,78.21,81.08,1992-09
1992-10-31,81.05,87.93,81.05,87.65,1992-10
1992-11-30,87.71,91.31,87.71,90.75,1992-11
1992-12-31,90.89,92.52,88.69,92.36,1992-12
1993-01-31,92.39,93.74,90.09,92.45,1993-01
1993-02-28,92.47,94.86,92.47,93.95,1993-02
1993-03-31,94.17,94.67,91.79,91.93,1993-03
1993-04-30,91.96,92.1,88.37,89.49,1993-04
1993-05-31,89.49,91.32,88.53,88.94,1993-05
1993-06-30,89.1,94.32,88.85,93.65,1993-06
1993-07-31,93.65,95.62,92.82,95.49,1993-07
1993-08-31,95.48,95.64,93.12,93.96,1993-08
1993-09-30,93.96,93.96,90.29,92.78,1993-09
1993-10-31,92.8,95.35,91.21,95.17,1993-10
1993-11-30,95.19,96.38,94.41,96.19,1993-11
1993-12-31,96.21,96.85,94.76,96.79,1993-12
1994-01-31,96.76,97.03,95.15,95.52,1994-01
1994-02-28,95.46,97.1,94.34,94.58,1994-02
1994-03-31,94.61,95.35,92.85,93.38,1994-03
1994-04-30,93.38,95.33,91.71,92.15,1994-04
1994-05-31,92.57,93.72,91.58,92.47,1994-05
1994-06-30,92.47,93.51,89.19,89.57,1994-06
1994-07-31,89.55,90.44,86.65,89.77,1994-07
1994-08-31,89.39,90.31,87.44,89.71,1994-08
1994-09-30,89.71,89.71,87.14,87.9,1994-09
1994-10-31,87.72,88.37,84.91,85.59,1994-10
1994-11-30,85.54,89.28,85.2,89.04,1994-11
1994-12-31,89.02,90.18,88.46,88.73,1994-12
1995-01-31,89.23,89.63,86.95,87.95,1995-01
1995-02-28,87.93,88.49,85.69,85.86,1995-02
1995-03-31,85.87,86.08,81.47,81.77,1995-03
1995-04-30,81.87,83.03,80.22,81.74,1995-04
1995-05-31,81.87,84.85,80.54,82.71,1995-05
1995-06-30,82.71,83.33,81.35,81.5,1995-06
1995-07-31,81.55,82.52,81.22,81.67,1995-07
1995-08-31,81.67,86.6,81.03,85.58,1995-08
1995-09-30,85.58,87.37,83.5,84.18,1995-09
1995-10-31,84.31,84.84,82.99,83.69,1995-10
1995-11-30,83.67,85.38,83.34,85.17,1995-11
1995-12-31,85.17,85.59,84.4,84.82,1995-12
1996-01-31,84.78,87.72,84.48,87.28,1996-01
1996-02-29,87.25,87.56,85.26,86.26,1996-02
1996-03-31,86.25,87.12,86.07,86.47,1996-03
1996-04-30,86.58,88.3,86.27,88.05,1996-04
1996-05-31,88.05,89.05,87.38,87.74,1996-05
1996-06-30,87.78,88.56,87.35,87.9,1996-06
1996-07-31,87.87,88.29,85.69,85.95,1996-07
1996-08-31,85.91,86.96,85.81,86.42,1996-08
1996-09-30,86.65,88.1,86.32,87.89,1996-09
