month,nasdaq_close
1992-10,585.0
1992-11,630.9
1992-12,661.3
1993-01,691.1
1993-02,681.7
1993-03,684.5
1993-04,665.3
1993-05,686.5
1993-06,695.4
1993-07,703.4
1993-08,725.1
1993-09,745.9
1993-10,771.3
1993-11,764.0
1993-12,762.9
1994-01,787.8
1994-02,787.8
1994-03,785.9
1994-04,732.3
1994-05,727.8
1994-06,723.2
1994-07,713.5
1994-08,738.9
1994-09,763.9
1994-10,762.5
1994-11,760.4
1994-12,735.0
1995-01,758.0
1995-02,784.2
1995-03,807.2
1995-04,825.3
1995-05,859.8
1995-06,906.0
1995-07,979.4
1995-08,1009.6
1995-09,1051.0
1995-10,1022.1
1995-11,1046.6
1995-12,1047.0
1996-01,1024.9
1996-02,1094.0
1996-03,1092.6
1996-04,1135.6
1996-05,1220.5
1996-06,1205.1
1996-07,1105.6
1996-08,1134.2
1996-09,1186.4
1996-10,1234.0
1996-11,1259.8
1996-12,1292.2
1997-01,1345.4
1997-02,1349.2
1997-03,1282.9
1997-04,1225.0
1997-05,1352.6
1997-06,1422.5
1997-07,1531.1
1997-08,1596.7
1997-09,1660.1
1997-10,1682.3
1997-11,1601.0
1997-12,1567.0
1998-01,1570.2
1998-02,1714.9
1998-03,1781.3
1998-04,1852.3
1998-05,1836.4
1998-06,1795.7
1998-07,1941.6
1998-08,1784.8
1998-09,1663.4
1998-10,1615.7
1998-11,1888.7
1998-12,2071.0
1999-01,2357.8
1999-02,2357.0
1999-03,2391.1
1999-04,2537.9
1999-05,2512.6
1999-06,2521.0
1999-07,2741.3
1999-08,2642.4
1999-09,2807.9
1999-10,2815.3
1999-11,3230.5
1999-12,3739.9
2000-01,4013.5
2000-02,4410.9
2000-03,4803.0
2000-04,3863.6
2000-05,3528.4
2000-06,3865.5
2000-07,4017.7
2000-08,3909.6
2000-09,3875.8
2000-10,3333.8
2000-11,3055.4
2000-12,2657.8
2001-01,2656.9
2001-02,2449.6
2001-03,1986.7
2001-04,1933.9
2001-05,2181.1
2001-06,2112.1
2001-07,2034.0
2001-08,1929.7
2001-09,1573.3
2001-10,1656.4
2001-11,1870.1
2001-12,1977.7
2002-01,1976.8
2002-02,1799.7
2002-03,1863.0
2002-04,1758.8
2002-05,1660.3
2002-06,1505.5
2002-07,1346.1
2002-08,1327.4
2002-09,1251.1
2002-10,1241.9
2002-11,1409.2
2002-12,1387.2
2003-01,1390.4
2003-02,1312.1
2003-03,1349.5
2003-04,1411.2
2003-05,1525.4
2003-06,1630.2
2003-07,1716.0
2003-08,1726.6
2003-09,1856.0
2003-10,1905.9
2003-11,1937.9
2003-12,1953.9
2004-01,2096.2
2004-02,2048.3
2004-03,1979.6
2004-04,2018.9
2004-05,1930.2
2004-06,2002.1
2004-07,1912.7
2004-08,1821.9
2004-09,1884.7
2004-10,1938.3
2004-11,2062.9
2004-12,2149.5
2005-01,2071.9
2005-02,2065.7
2005-03,2030.4
2005-04,1957.5
2005-05,2005.2
2005-06,2074.1
2005-07,2145.1
2005-08,2158.0
2005-09,2144.7
2005-10,2087.2
2005-11,2202.9
2005-12,2246.1
2006-01,2290.0
2006-02,2273.7
2006-03,2300.3
2006-04,2338.7
2006-05,2245.3
2006-06,2137.4
2006-07,2086.2
2006-08,2117.8
2006-09,2221.9
2006-10,2330.2
2006-11,2408.7
2006-12,2431.9
2007-01,2453.2
2007-02,2479.9
2007-03,2401.5
2007-04,2499.6
2007-05,2562.1
2007-06,2595.4
2007-07,2655.1
2007-08,2539.5
2007-09,2634.5
2007-10,2780.4
2007-11,2662.8
2007-12,2661.5
2008-01,2418.1
2008-02,2325.8
2008-03,2254.8
2008-04,2368.1
2008-05,2483.2
2008-06,2427.5
2008-07,2278.1
2008-08,2389.3
2008-09,2205.7
2008-10,1730.3
2008-11,1542.7
2008-12,1525.9
2009-01,1537.2
2009-02,1486.0
2009-03,1432.2
2009-04,1641.1
2009-05,1726.1
2009-06,1827.0
2009-07,1873.8
2009-08,1997.2
2009-09,2084.7
2009-10,2122.8
2009-11,2143.5
2009-12,2220.6
2010-01,2267.8
2010-02,2194.4
2010-03,2362.2
2010-04,2475.7
2010-05,2319.2
2010-06,2235.2
2010-07,2210.3
